Wall time,Round,Iteration,Value,
1644304647.51192,564,28200,0.715433299541473,
1644304670.07781,565,28250,0.706797897815704,
1644304760.2496,569,28450,0.714931190013886,
1644304828.57953,572,28600,0.723968267440796,
1644304872.98324,574,28700,0.72637814283371,
1644304940.28699,577,28850,0.719751000404358,
1644305032.3397,581,29050,0.716537833213806,
1644305124.18133,585,29250,0.72296416759491,
1644305147.18414,586,29300,0.714630007743835,
1644305170.29449,587,29350,0.711517214775085,
1644305216.04005,589,29450,0.71834522485733,
1644305260.99636,591,29550,0.723767459392548,
1644305283.16757,592,29600,0.717039883136749,
1644305305.34084,593,29650,0.700873553752899,
1644305349.87849,595,29750,0.717039883136749,
1644305394.33955,597,29850,0.727181434631348,
1644305416.47093,598,29900,0.70649665594101,
1644305438.98028,599,29950,0.714027523994446,
1644305461.79435,600,30000,0.734009444713593,
1644305506.88415,602,30100,0.721357583999634,
1644305529.24689,603,30150,0.708504855632782,
1644305551.67214,604,30200,0.714127898216248,
1644305596.69542,606,30300,0.702982246875763,
1644305664.11881,609,30450,0.723867833614349,
1644305709.15581,611,30550,0.726076900959015,
1644305778.21401,614,30700,0.712822556495667,
1644305801.02314,615,30750,0.728386402130127,
1644305846.25192,617,30850,0.716939449310303,
1644305892.45312,619,30950,0.728587210178375,
1644305938.08227,621,31050,0.722863733768463,
1644305982.90719,623,31150,0.730394601821899,
1644306005.19375,624,31200,0.731900811195374,
1644306072.47769,627,31350,0.722763299942017,
1644306117.55405,629,31450,0.712119698524475,
1644306140.03711,630,31500,0.729691743850708,
1644306230.00761,634,31700,0.734411060810089,
1644306275.76041,636,31800,0.736218512058258,
1644306320.65048,638,31900,0.71834522485733,
1644306387.25753,641,32050,0.714931190013886,
1644306409.76156,642,32100,0.708103239536285,
1644306432.77533,643,32150,0.720755100250244,
1644306455.82908,644,32200,0.710513114929199,
1644306478.61181,645,32250,0.732603669166565,
1644306501.01859,646,32300,0.714429140090942,
1644306590.03679,650,32500,0.721960008144379,
1644306634.74199,652,32600,0.709810197353363,
1644306657.79196,653,32650,0.710312306880951,
1644306681.01824,654,32700,0.723365783691406,
1644306703.45039,655,32750,0.726880192756653,
